Stock_Number,Deletion,Chromosome,Background,Block,Raw_Phenotype,Numeric_Phenotype,Deletion_Set
25116,Df(3L)BSC553,3L,ORE,1,D,7,BSC
25116,Df(3L)BSC553,3L,ORE,1,F,5,BSC
25116,Df(3L)BSC553,3L,ORE,1,F,5,BSC
25116,Df(3L)BSC553,3L,ORE,4,G,4,BSC
25116,Df(3L)BSC553,3L,ORE,4,E,6,BSC
25116,Df(3L)BSC553,3L,ORE,4,F,5,BSC
25116,Df(3L)BSC553,3L,ORE,4,F,5,BSC
25116,Df(3L)BSC553,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,2,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
26525,Df(3L)BSC673,3L,ORE,4,G,4,BSC
27346,Df(3L)BSC774,3L,ORE,1,G,4,BSC
27346,Df(3L)BSC774,3L,ORE,1,I,2,BSC
27346,Df(3L)BSC774,3L,ORE,1,I,2,BSC
27346,Df(3L)BSC774,3L,ORE,1,I,2,BSC
27346,Df(3L)BSC774,3L,ORE,1,J,1,BSC
27346,Df(3L)BSC774,3L,ORE,1,J,1,BSC
27346,Df(3L)BSC774,3L,ORE,4,H,3,BSC
27346,Df(3L)BSC774,3L,ORE,4,I,2,BSC
27346,Df(3L)BSC774,3L,ORE,4,I,2,BSC
27346,Df(3L)BSC774,3L,ORE,4,J,1,BSC
27346,Df(3L)BSC774,3L,ORE,4,J,1,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,1,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,3,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,3,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,3,G,4,BSC
27369,Df(3L)BSC797,3L,ORE,3,G,4,BSC
27587,Df(3L)BSC575,3L,ORE,4,F,5,BSC
27587,Df(3L)BSC575,3L,ORE,4,G,4,BSC
27587,Df(3L)BSC575,3L,ORE,4,G,4,BSC
27587,Df(3L)BSC575,3L,ORE,4,G,4,BSC
27587,Df(3L)BSC575,3L,ORE,4,H,3,BSC
9500,Df(3R)BSC140,3R,ORE,1,F,5,BSC
9500,Df(3R)BSC140,3R,ORE,1,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,1,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,1,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,1,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,1,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9500,Df(3R)BSC140,3R,ORE,3,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,E,6,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
9501,Df(3R)BSC141,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,F,5,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24964,Df(3R)BSC460,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,1,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,1,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,1,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,3,F,5,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,G,4,BSC
24968,Df(3R)BSC464,3R,ORE,3,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,3,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,3,H,3,BSC
24968,Df(3R)BSC464,3R,ORE,3,H,3,BSC
24972,Df(3R)BSC468,3R,ORE,1,F,5,BSC
24972,Df(3R)BSC468,3R,ORE,1,G,4,BSC
24972,Df(3R)BSC468,3R,ORE,1,G,4,BSC
24972,Df(3R)BSC468,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25002,Df(3R)BSC498,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
