ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_M_B2_7875_4,ORE,sd,M,B2,7875,1.094955464
ORE_sd_M_B2_7875_5,ORE,sd,M,B2,7875,1.446097453
ORE_sd_M_B2_7894_1,ORE,sd,M,B2,7894,1.61300856
ORE_sd_M_B2_7894_2,ORE,sd,M,B2,7894,1.96494998
ORE_sd_M_B2_7894_3,ORE,sd,M,B2,7894,1.524193613
ORE_sd_M_B2_7894_4,ORE,sd,M,B2,7894,1.693515422
ORE_sd_M_B2_7894_5,ORE,sd,M,B2,7894,1.421149623
ORE_sd_M_B2_7942_1,ORE,sd,M,B2,7942,0.963273688
ORE_sd_M_B2_7942_2,ORE,sd,M,B2,7942,1.639373754
ORE_sd_M_B2_7942_3,ORE,sd,M,B2,7942,0.873859048
ORE_sd_M_B2_7942_4,ORE,sd,M,B2,7942,0.92291954
ORE_sd_M_B2_7942_5,ORE,sd,M,B2,7942,0.604120544
ORE_sd_M_B2_7942_6,ORE,sd,M,B2,7942,0.825703481
ORE_sd_M_B2_7949_1,ORE,sd,M,B2,7949,0.650559876
ORE_sd_M_B2_7949_2,ORE,sd,M,B2,7949,0.711886462
ORE_sd_M_B2_7949_3,ORE,sd,M,B2,7949,0.942258833
ORE_sd_M_B2_7949_4,ORE,sd,M,B2,7949,0.8141343
ORE_sd_M_B2_7949_5,ORE,sd,M,B2,7949,0.75508857
ORE_sd_M_B2_7949_6,ORE,sd,M,B2,7949,0.812617098
ORE_sd_M_B2_7951_1,ORE,sd,M,B2,7951,1.916234373
ORE_sd_M_B2_7951_2,ORE,sd,M,B2,7951,1.238282948
ORE_sd_M_B2_7951_3,ORE,sd,M,B2,7951,1.542892773
ORE_sd_M_B2_7951_4,ORE,sd,M,B2,7951,1.429518326
ORE_sd_M_B2_7951_5,ORE,sd,M,B2,7951,1.662665222
ORE_sd_M_B2_7951_6,ORE,sd,M,B2,7951,1.743634336
ORE_sd_M_B2_7960_1,ORE,sd,M,B2,7960,0.724470185
ORE_sd_M_B2_7960_2,ORE,sd,M,B2,7960,0.570982439
ORE_sd_M_B2_7960_3,ORE,sd,M,B2,7960,0.615079354
ORE_sd_M_B2_7960_4,ORE,sd,M,B2,7960,0.51561156
ORE_sd_M_B2_7960_5,ORE,sd,M,B2,7960,0.583393817
ORE_sd_M_B2_7960_6,ORE,sd,M,B2,7960,0.585356974
ORE_sd_M_B2_7976_1,ORE,sd,M,B2,7976,0.718731422
ORE_sd_M_B2_7976_2,ORE,sd,M,B2,7976,0.556893236
ORE_sd_M_B2_7976_3,ORE,sd,M,B2,7976,0.872961786
ORE_sd_M_B2_7976_4,ORE,sd,M,B2,7976,0.771794493
ORE_sd_M_B2_7976_5,ORE,sd,M,B2,7976,1.133726783
ORE_sd_M_B2_7976_6,ORE,sd,M,B2,7976,1.043714709
ORE_sd_M_B2_7993_1,ORE,sd,M,B2,7993,1.692749564
ORE_sd_M_B2_7993_2,ORE,sd,M,B2,7993,1.571948931
ORE_sd_M_B2_7993_3,ORE,sd,M,B2,7993,1.692429621
ORE_sd_M_B2_7993_4,ORE,sd,M,B2,7993,1.739070797
ORE_sd_M_B2_7993_5,ORE,sd,M,B2,7993,1.817633433
ORE_sd_M_B2_7995_1,ORE,sd,M,B2,7995,2.012558818
ORE_sd_M_B2_7995_2,ORE,sd,M,B2,7995,2.051285535
ORE_sd_M_B2_7995_3,ORE,sd,M,B2,7995,1.884676297
ORE_sd_M_B2_7995_4,ORE,sd,M,B2,7995,2.03278339
ORE_sd_M_B2_7995_5,ORE,sd,M,B2,7995,2.01726661
ORE_sd_M_B2_7995_6,ORE,sd,M,B2,7995,1.878200197
ORE_sd_M_B2_7998_1,ORE,sd,M,B2,7998,0.86706435
ORE_sd_M_B2_7998_2,ORE,sd,M,B2,7998,0.53253128
ORE_sd_M_B2_7998_3,ORE,sd,M,B2,7998,1.745001108
ORE_sd_M_B2_7998_4,ORE,sd,M,B2,7998,1.987538751
ORE_sd_M_B2_7998_5,ORE,sd,M,B2,7998,1.485289064
ORE_sd_M_B2_7998_6,ORE,sd,M,B2,7998,0.53366299
SAM_sd_M_B1_6326_1,SAM,sd,M,B1,6326,1.817924331
SAM_sd_M_B1_6326_2,SAM,sd,M,B1,6326,1.853628643
SAM_sd_M_B1_6326_3,SAM,sd,M,B1,6326,1.926148404
SAM_sd_M_B1_6326_4,SAM,sd,M,B1,6326,1.919942158
SAM_sd_M_B1_6326_5,SAM,sd,M,B1,6326,1.818270187
SAM_sd_M_B1_6326_6,SAM,sd,M,B1,6326,1.804696416
SAM_sd_M_B1_7522_1,SAM,sd,M,B1,7522,1.780960818
SAM_sd_M_B1_7522_2,SAM,sd,M,B1,7522,1.843706129
SAM_sd_M_B1_7522_3,SAM,sd,M,B1,7522,1.733468515
SAM_sd_M_B1_7522_4,SAM,sd,M,B1,7522,1.557224454
SAM_sd_M_B1_7522_5,SAM,sd,M,B1,7522,1.899925635
SAM_sd_M_B1_7541_1,SAM,sd,M,B1,7541,1.478313333
SAM_sd_M_B1_7541_2,SAM,sd,M,B1,7541,1.725012134
SAM_sd_M_B1_7541_3,SAM,sd,M,B1,7541,1.589645575
SAM_sd_M_B1_7541_4,SAM,sd,M,B1,7541,1.691605427
SAM_sd_M_B1_7541_5,SAM,sd,M,B1,7541,1.782158979
SAM_sd_M_B1_7795_1,SAM,sd,M,B1,7795,1.732137538
SAM_sd_M_B1_7795_2,SAM,sd,M,B1,7795,0.935649899
SAM_sd_M_B1_7795_3,SAM,sd,M,B1,7795,1.782091829
SAM_sd_M_B1_7795_4,SAM,sd,M,B1,7795,1.61887695
SAM_sd_M_B1_7795_5,SAM,sd,M,B1,7795,1.332246383
SAM_sd_M_B1_7834_1,SAM,sd,M,B1,7834,1.810696433
SAM_sd_M_B1_7834_3,SAM,sd,M,B1,7834,1.614513614
SAM_sd_M_B1_7834_4,SAM,sd,M,B1,7834,1.689777134
SAM_sd_M_B1_7845_1,SAM,sd,M,B1,7845,1.843705426
SAM_sd_M_B1_7845_2,SAM,sd,M,B1,7845,1.882360609
SAM_sd_M_B1_7845_3,SAM,sd,M,B1,7845,1.906955686
SAM_sd_M_B1_7845_4,SAM,sd,M,B1,7845,1.849959476
SAM_sd_M_B1_7845_5,SAM,sd,M,B1,7845,1.929017521
SAM_sd_M_B1_7845_6,SAM,sd,M,B1,7845,1.816690903
SAM_sd_M_B1_7875_1,SAM,sd,M,B1,7875,1.570372135
SAM_sd_M_B1_7875_3,SAM,sd,M,B1,7875,1.69770384
SAM_sd_M_B1_7879_1,SAM,sd,M,B1,7879,1.10887009
SAM_sd_M_B1_7879_2,SAM,sd,M,B1,7879,1.26662719
SAM_sd_M_B1_7879_3,SAM,sd,M,B1,7879,1.775269282
SAM_sd_M_B1_7879_4,SAM,sd,M,B1,7879,1.746367552
SAM_sd_M_B1_7879_5,SAM,sd,M,B1,7879,1.17249588
SAM_sd_M_B1_7879_6,SAM,sd,M,B1,7879,1.63223459
SAM_sd_M_B1_7894_1,SAM,sd,M,B1,7894,1.864418697
SAM_sd_M_B1_7894_3,SAM,sd,M,B1,7894,1.786514164
SAM_sd_M_B1_7894_4,SAM,sd,M,B1,7894,1.891230961
SAM_sd_M_B1_7894_5,SAM,sd,M,B1,7894,1.870664005
SAM_sd_M_B2_6326_1,SAM,sd,M,B2,6326,1.815413802
SAM_sd_M_B2_6326_2,SAM,sd,M,B2,6326,1.949766059
SAM_sd_M_B2_6326_3,SAM,sd,M,B2,6326,1.890495383
SAM_sd_M_B2_6326_4,SAM,sd,M,B2,6326,1.926314147
SAM_sd_M_B2_6326_5,SAM,sd,M,B2,6326,1.969561658
SAM_sd_M_B2_6326_6,SAM,sd,M,B2,6326,1.81293304
SAM_sd_M_B2_7491_1,SAM,sd,M,B2,7491,1.680503264
SAM_sd_M_B2_7491_2,SAM,sd,M,B2,7491,1.771564386
SAM_sd_M_B2_7491_3,SAM,sd,M,B2,7491,1.336991184
SAM_sd_M_B2_7491_4,SAM,sd,M,B2,7491,1.56579322
SAM_sd_M_B2_7491_5,SAM,sd,M,B2,7491,1.671135665
SAM_sd_M_B2_7491_6,SAM,sd,M,B2,7491,1.691592403
SAM_sd_M_B2_7492_1,SAM,sd,M,B2,7492,1.762915202
SAM_sd_M_B2_7492_2,SAM,sd,M,B2,7492,1.762011196
SAM_sd_M_B2_7492_3,SAM,sd,M,B2,7492,1.807629845
SAM_sd_M_B2_7492_4,SAM,sd,M,B2,7492,1.8161943
SAM_sd_M_B2_7492_5,SAM,sd,M,B2,7492,1.777667242
SAM_sd_M_B2_7492_6,SAM,sd,M,B2,7492,1.845991322
SAM_sd_M_B2_7503_1,SAM,sd,M,B2,7503,1.729964541
SAM_sd_M_B2_7503_2,SAM,sd,M,B2,7503,1.644358402
SAM_sd_M_B2_7503_3,SAM,sd,M,B2,7503,1.703230102
SAM_sd_M_B2_7503_4,SAM,sd,M,B2,7503,1.703205625
SAM_sd_M_B2_7503_5,SAM,sd,M,B2,7503,1.68054144
SAM_sd_M_B2_7503_6,SAM,sd,M,B2,7503,1.432441951
SAM_sd_M_B2_7505_1,SAM,sd,M,B2,7505,2.008141949
SAM_sd_M_B2_7505_2,SAM,sd,M,B2,7505,1.958156502
SAM_sd_M_B2_7505_3,SAM,sd,M,B2,7505,1.859209267
SAM_sd_M_B2_7505_4,SAM,sd,M,B2,7505,2.027260234
SAM_sd_M_B2_7505_5,SAM,sd,M,B2,7505,1.965911749
SAM_sd_M_B2_7505_6,SAM,sd,M,B2,7505,1.921611834
SAM_sd_M_B2_7507_2,SAM,sd,M,B2,7507,1.835367635
SAM_sd_M_B2_7507_3,SAM,sd,M,B2,7507,1.85093443
SAM_sd_M_B2_7507_4,SAM,sd,M,B2,7507,1.981516943
SAM_sd_M_B2_7507_5,SAM,sd,M,B2,7507,1.915007979
SAM_sd_M_B2_7507_6,SAM,sd,M,B2,7507,1.877288996
SAM_sd_M_B2_7513_1,SAM,sd,M,B2,7513,1.932706594
SAM_sd_M_B2_7513_2,SAM,sd,M,B2,7513,2.014729367
SAM_sd_M_B2_7513_3,SAM,sd,M,B2,7513,1.862371052
SAM_sd_M_B2_7513_4,SAM,sd,M,B2,7513,1.922725157
SAM_sd_M_B2_7513_5,SAM,sd,M,B2,7513,1.907736323
SAM_sd_M_B2_7513_6,SAM,sd,M,B2,7513,1.768444721
SAM_sd_M_B2_7516_1,SAM,sd,M,B2,7516,1.614307026
SAM_sd_M_B2_7516_2,SAM,sd,M,B2,7516,1.671867495
SAM_sd_M_B2_7516_3,SAM,sd,M,B2,7516,1.638893541
SAM_sd_M_B2_7516_4,SAM,sd,M,B2,7516,1.500031335
SAM_sd_M_B2_7516_5,SAM,sd,M,B2,7516,1.283128756
SAM_sd_M_B2_7516_6,SAM,sd,M,B2,7516,1.522549485
SAM_sd_M_B2_7522_1,SAM,sd,M,B2,7522,1.797653381
SAM_sd_M_B2_7522_2,SAM,sd,M,B2,7522,1.835549225
SAM_sd_M_B2_7522_3,SAM,sd,M,B2,7522,1.858526334
SAM_sd_M_B2_7522_4,SAM,sd,M,B2,7522,1.815203661
SAM_sd_M_B2_7522_5,SAM,sd,M,B2,7522,1.849358278
SAM_sd_M_B2_7522_6,SAM,sd,M,B2,7522,1.877046656
SAM_sd_M_B2_7524_1,SAM,sd,M,B2,7524,1.98380443
SAM_sd_M_B2_7524_2,SAM,sd,M,B2,7524,1.84755959
SAM_sd_M_B2_7524_3,SAM,sd,M,B2,7524,1.93105669
SAM_sd_M_B2_7524_4,SAM,sd,M,B2,7524,1.990206391
SAM_sd_M_B2_7524_5,SAM,sd,M,B2,7524,1.835716441
