Deletion,Background,Sex,Block,Numeric_Phenotype
7875,S1,M,B1,6
7875,S1,M,B1,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7879,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7894,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,7
7949,S1,M,B2,8
7949,S1,M,B2,8
7949,S1,M,B2,8
7949,S1,M,B2,8
7960,S1,M,B2,7
7960,S1,M,B2,7
7960,S1,M,B2,8
7960,S1,M,B2,8
7960,S1,M,B2,8
7960,S1,M,B2,8
7960,S1,M,B2,2
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7976,S1,M,B2,7
7993,S1,M,B1,7
7993,S1,M,B1,7
7993,S1,M,B1,7
7993,S1,M,B1,7
7993,S1,M,B1,7
7993,S1,M,B1,6
7993,S1,M,B1,6
7993,S1,M,B2,6
7993,S1,M,B2,7
7993,S1,M,B2,7
7993,S1,M,B2,7
7993,S1,M,B2,7
7993,S1,M,B2,8
7993,S1,M,B2,8
7995,S1,M,B1,7
7995,S1,M,B1,7
7995,S1,M,B1,7
7995,S1,M,B1,4
7995,S1,M,B1,4
7995,S1,M,B1,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,4
7995,S1,M,B2,5
7995,S1,M,B2,7
7995,S1,M,B2,7
7995,S1,M,B2,7
7998,S1,M,B1,7
7998,S1,M,B1,7
7998,S1,M,B1,7
7998,S1,M,B1,7
7998,S1,M,B1,7
7998,S1,M,B1,6
7998,S1,M,B2,7
7998,S1,M,B2,7
7998,S1,M,B2,7
7998,S1,M,B2,7
7998,S1,M,B2,7
7998,S1,M,B2,7
6326,L1,M,B1,4
6326,L1,M,B1,4
6326,L1,M,B1,4
6326,L1,M,B1,4
6326,L1,M,B1,4
6326,L1,M,B1,4
6326,L1,M,B1,5
6326,L1,M,B1,6
6326,L1,M,B1,6
6326,L1,M,B2,4
6326,L1,M,B2,4
6326,L1,M,B2,5
6326,L1,M,B2,5
6326,L1,M,B2,5
6326,L1,M,B2,6
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,4
6326,L1,M,B3,5
6326,L1,M,B3,5
6326,L1,M,B3,5
7491,L1,M,B2,5
7491,L1,M,B2,6
7491,L1,M,B2,6
7491,L1,M,B2,7
7491,L1,M,B2,7
7491,L1,M,B2,7
7491,L1,M,B2,7
7492,L1,M,B2,4
7492,L1,M,B2,4
7492,L1,M,B2,4
7492,L1,M,B2,4
7492,L1,M,B2,4
7492,L1,M,B2,4
7492,L1,M,B2,5
7503,L1,M,B3,6
7503,L1,M,B3,6
7503,L1,M,B3,6
7503,L1,M,B3,7
7503,L1,M,B3,7
7503,L1,M,B3,7
7503,L1,M,B3,7
7505,L1,M,B2,4
7505,L1,M,B2,4
7505,L1,M,B2,4
7505,L1,M,B2,4
7505,L1,M,B2,4
7505,L1,M,B2,3
7516,L1,M,B3,7
7516,L1,M,B3,7
7516,L1,M,B3,7
7516,L1,M,B3,7
7516,L1,M,B3,6
