Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,2,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,3,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,3,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,3,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
